	name	encoding
0	ps	[-0.148731529712677, 0.054585620760917664, 0.012720797210931778, -0.00890829786658287, -0.08604253083467484, -0.10263378173112869, 0.006490135565400124, -0.10795366019010544, 0.10444067418575287, -0.024709202349185944, 0.23769503831863403, -0.043723851442337036, -0.20115824043750763, -0.09250681847333908, -0.00559146236628294, 0.10579950362443924, -0.16844500601291656, -0.0328584685921669, -0.12528114020824432, -0.15323124825954437, 0.017530066892504692, 0.05878555402159691, 0.028081323951482773, 0.03679819777607918, -0.10277209430932999, -0.2370954304933548, -0.10988742113113403, -0.12456480413675308, 0.08175624907016754, -0.07720235735177994, -0.032771043479442596, -0.007228014059364796, -0.30691108107566833, -0.13070011138916016, -0.003807518631219864, 0.009694347158074379, -0.019030526280403137, -0.057556964457035065, 0.18307651579380035, 0.04217398911714554, -0.11912962794303894, 0.02363276295363903, 0.025082584470510483, 0.24601882696151733, 0.21404825150966644, -0.0447787381708622, -0.03441697359085083, -0.06547872722148895, 0.10733963549137115, -0.19623002409934998, 0.007802678272128105, 0.1742878407239914, 0.13042230904102325, 0.04797996208071709, -0.009656799957156181, -0.06861795485019684, -0.005691000260412693, 0.12130551785230637, -0.1511577069759369, 0.048170316964387894, 0.07269873470067978, -0.07176506519317627, -0.07403728365898132, -0.05808032304048538, 0.18399429321289062, 0.09543391317129135, -0.07588798552751541, -0.15441696345806122, 0.174406960606575, -0.1434473693370819, -0.045871078968048096, 0.07803674787282944, -0.129308819770813, -0.1642688363790512, -0.3202016055583954, 0.09284360706806183, 0.42285260558128357, 0.1298593431711197, -0.19141963124275208, 0.02736252173781395, -0.19124405086040497, -0.03367707133293152, 0.031420473009347916, 0.07029788941144943, -0.054607417434453964, 0.04591281712055206, -0.07434064894914627, 0.10531636327505112, 0.18337540328502655, -0.04940437152981758, -0.024342427030205727, 0.2553881108760834, 0.010645385831594467, 0.04280415549874306, 0.03587065637111664, 0.002804154995828867, -0.08463144302368164, -0.09067165106534958, -0.08673891425132751, -0.041983164846897125, 0.0902157872915268, -0.10330710560083389, 0.04273896664381027, 0.1651928573846817, -0.16000548005104065, 0.1433112919330597, 0.007053619250655174, -0.030466092750430107, -0.014505870640277863, -0.014351706951856613, -0.0038710469380021095, -0.03067844547331333, 0.12140342593193054, -0.18017131090164185, 0.23195701837539673, 0.1425315886735916, -0.025237178429961205, 0.10564523935317993, 0.016048889607191086, 0.0812559500336647, -0.07650109380483627, 0.006829940248280764, -0.12906278669834137, -0.06972356885671616, 0.026228569447994232, 0.0025046267546713352, 0.06669364869594574, 0.014781353995203972]
1	ps	[-0.14262768626213074, 0.11591877788305283, 0.053879108279943466, 0.008885830640792847, -0.01891728676855564, -0.10223043709993362, -0.06158606708049774, -0.10114452242851257, 0.15376457571983337, -0.05736510828137398, 0.28170356154441833, -0.008714845404028893, -0.22481770813465118, -0.09629754722118378, 0.023118192330002785, 0.09787723422050476, -0.16088156402111053, -0.03917008638381958, -0.08064179867506027, -0.06261865049600601, 0.009140132926404476, 0.07824146747589111, 0.047067757695913315, -0.027640268206596375, -0.06314076483249664, -0.36152684688568115, -0.122732013463974, -0.10150280594825745, 0.05687755346298218, -0.03166338801383972, -0.03256836161017418, 0.02686559408903122, -0.20211541652679443, -0.10808109492063522, 0.026730239391326904, 0.06448476761579514, -0.05937815085053444, -0.04002857208251953, 0.20336692035198212, 0.035872749984264374, -0.12415900081396103, -0.05557481572031975, 0.002212882973253727, 0.21725580096244812, 0.19254329800605774, -0.015453767031431198, -0.02470601722598076, -0.07569359242916107, 0.07139483839273453, -0.22005967795848846, 0.059976935386657715, 0.18548628687858582, 0.15501388907432556, 0.10312869399785995, 0.09981133788824081, -0.11653879284858704, 0.027270665392279625, 0.08309715241193771, -0.1798235923051834, 0.02288973145186901, 0.02761058695614338, -0.08848694711923599, -0.06777217984199524, -0.04058756306767464, 0.17186175286769867, 0.13365882635116577, -0.06983036547899246, -0.12587475776672363, 0.16693302989006042, -0.13053415715694427, -0.05470823124051094, 0.07696965336799622, -0.10359610617160797, -0.2224443554878235, -0.2869090139865875, 0.05458858236670494, 0.33835917711257935, 0.15396982431411743, -0.21882547438144684, 0.03931034728884697, -0.07509683817625046, -0.10270556062459946, 0.055775851011276245, 0.0745910257101059, -0.05567207559943199, 0.017423909157514572, -0.06515765935182571, 0.01601579412817955, 0.14855284988880157, -0.0246124304831028, -0.05477211996912956, 0.23850926756858826, -0.05000677704811096, 0.10381617397069931, 0.08567137271165848, -0.0008650491363368928, -0.027738729491829872, -0.06734879314899445, -0.10666391253471375, -0.04284009709954262, 0.10609705001115799, -0.14947070181369781, -0.03841739520430565, 0.08960133045911789, -0.1575898379087448, 0.1399715542793274, 0.0317351371049881, -0.0027925525791943073, 0.03651726245880127, -0.02871968410909176, -0.03559748828411102, -0.017841631546616554, 0.17766468226909637, -0.21333743631839752, 0.2930181920528412, 0.1394011378288269, -0.06188656762242317, 0.18073351681232452, 0.03136388957500458, 0.09388623386621475, -0.054128751158714294, -0.04687046259641647, -0.14041627943515778, -0.10505066812038422, -0.008633429184556007, 0.014103971421718597, 0.021435532718896866, 0.0204301904886961]
2	ps	[-0.12626676261425018, 0.07664117217063904, 0.07188823074102402, 0.0164300836622715, -0.06193619221448898, -0.032730262726545334, 0.03291701897978783, -0.1500769704580307, 0.15352076292037964, -0.0793837308883667, 0.3364372253417969, -0.02872742898762226, -0.2836247682571411, -0.1489851027727127, -0.010832523927092552, 0.12478449195623398, -0.11359521001577377, -0.07302643358707428, -0.1481456756591797, -0.08514806628227234, 0.058974508196115494, -0.03374622017145157, 0.030390657484531403, 0.029966633766889572, -0.11986608058214188, -0.28881606459617615, -0.10761381685733795, -0.12598121166229248, 0.009312089532613754, -0.10670418292284012, -0.046612903475761414, -0.019614601507782936, -0.21020007133483887, -0.13228732347488403, -0.05896703526377678, 0.027520939707756042, -0.026622682809829712, -0.09641708433628082, 0.13272131979465485, -0.04464499652385712, -0.14846356213092804, -0.022879328578710556, -0.017645977437496185, 0.20215803384780884, 0.18329235911369324, -0.021896060556173325, 0.003581363707780838, -0.06691160798072815, 0.06697402149438858, -0.2797623574733734, 0.04972933977842331, 0.10040973126888275, 0.1759880781173706, 0.08294527977705002, 0.07631783187389374, -0.13796395063400269, 0.012932817451655865, 0.11011780053377151, -0.1947653889656067, 0.05203794687986374, 0.022714605554938316, -0.08044369518756866, -0.024740304797887802, -0.04551803693175316, 0.20053619146347046, 0.16822229325771332, -0.11492331326007843, -0.08370491862297058, 0.18377910554409027, -0.14075180888175964, -0.018226824700832367, 0.062040653079748154, -0.11507000774145126, -0.2596997022628784, -0.3081411123275757, 0.11293794214725494, 0.47757503390312195, 0.1954098790884018, -0.27678555250167847, -0.03684825450181961, -0.15118056535720825, 0.006772968918085098, 0.0759478211402893, 0.05623540282249451, -0.010609854944050312, 0.016401071101427078, -0.12019958347082138, 0.028894376009702682, 0.15387919545173645, -0.06301816552877426, -0.07066214084625244, 0.30436545610427856, 0.0018111858516931534, 0.02010863646864891, 0.08745887875556946, 0.03931226581335068, -0.020258065313100815, -0.002811185549944639, -0.07874904572963715, 0.049814313650131226, 0.06798390299081802, -0.13530562818050385, 0.005153159610927105, 0.029198233038187027, -0.0995495617389679, 0.1271863430738449, 0.0221792571246624, 0.0041443295776844025, -0.004400433041155338, -0.0392635352909565, -0.08732928335666656, -0.024768320843577385, 0.16535522043704987, -0.29307836294174194, 0.24728482961654663, 0.17038600146770477, -0.018939290195703506, 0.18384845554828644, 0.015528079122304916, 0.11648982763290405, 0.0033162133768200874, -0.05951901525259018, -0.0928642675280571, -0.08524444699287415, 0.046157196164131165, -0.04183682054281235, 0.0456140972673893, 0.0403408408164978]
3	ps	[-0.06123470515012741, 0.1656670719385147, 0.041162729263305664, -0.06665566563606262, -0.10131334513425827, -0.02081402577459812, -0.053748391568660736, -0.04935484379529953, 0.13035079836845398, -0.01732689142227173, 0.1989104449748993, 0.017949752509593964, -0.20898474752902985, -0.10545439273118973, -0.018150461837649345, 0.08782048523426056, -0.1247233971953392, -0.030148815363645554, -0.12423663586378098, -0.14003396034240723, 0.0018427653703838587, 0.0435941144824028, 0.05862163379788399, -0.04159938544034958, -0.13446637988090515, -0.22995178401470184, -0.08738913387060165, -0.11044168472290039, 0.01321847178041935, -0.10545483231544495, 0.009220829233527184, 0.0019341406878083944, -0.2858719825744629, -0.13457036018371582, -0.033338651061058044, 0.05314221233129501, -0.04035703092813492, -0.04364898055791855, 0.11620420217514038, 0.04190473631024361, -0.07273226231336594, 0.058946698904037476, 0.0051526231691241264, 0.2309330552816391, 0.23974290490150452, -0.05158224701881409, -0.023950627073645592, -0.02869337983429432, 0.10427111387252808, -0.24350476264953613, 0.07933655381202698, 0.12427328526973724, 0.126786470413208, 0.08730993419885635, 0.05701753869652748, -0.0644538551568985, 0.044759601354599, 0.09686116874217987, -0.17415127158164978, 0.04973646253347397, 0.0823063850402832, -0.08283238112926483, -0.10089321434497833, -0.07418030500411987, 0.18941397964954376, 0.15886329114437103, -0.06239883974194527, -0.15719810128211975, 0.18835315108299255, -0.09240330755710602, -0.027414489537477493, 0.07509547472000122, -0.10555834323167801, -0.1167990192770958, -0.28729143738746643, 0.1267089545726776, 0.3741125762462616, 0.20368556678295135, -0.20467156171798706, 0.0006132959388196468, -0.18784372508525848, 0.012994814664125443, -0.011122246272861958, -0.0030548153445124626, -0.03391546010971069, 0.01419837400317192, -0.056913621723651886, 0.09884355962276459, 0.16046272218227386, -0.06058838218450546, -0.10213195532560349, 0.24562570452690125, 0.01130484975874424, 0.06865134090185165, 0.04853269085288048, -0.03734130412340164, -0.0643240287899971, -0.0634506419301033, -0.13307461142539978, 0.008676680736243725, 0.06092549115419388, -0.17044290900230408, -0.02018159255385399, 0.11230272799730301, -0.10844463109970093, 0.1488531231880188, 0.024474017322063446, -0.0103361951187253, -0.025790072977542877, 0.00804305449128151, -0.07264290750026703, -0.00018203281797468662, 0.18871267139911652, -0.21859967708587646, 0.31397631764411926, 0.12302568554878235, -0.02204498089849949, 0.1070512980222702, 0.07985434681177139, 0.10532639175653458, -0.0283900685608387, -0.03421464562416077, -0.08096622675657272, -0.11746342480182648, -0.0038955542258918285, -0.011025091633200645, 0.0626571774482727, 0.07616790384054184]
4	ps	[-0.13162806630134583, 0.10156466066837311, 0.017712991684675217, 0.016680747270584106, -0.05846061185002327, -0.056943394243717194, -0.004149952903389931, -0.12152861058712006, 0.13493511080741882, -0.11077183485031128, 0.24119488894939423, 0.005127297714352608, -0.2312145233154297, -0.11257839947938919, -0.01965326815843582, 0.15155330300331116, -0.11326786130666733, -0.026128418743610382, -0.15716853737831116, -0.09759937971830368, 0.010250899940729141, 0.04655070975422859, 0.050080060958862305, 0.009301064535975456, -0.06819786131381989, -0.2964337468147278, -0.11994386464357376, -0.0214069914072752, 0.006428350694477558, -0.018293216824531555, -0.0013069594278931618, -0.017863256856799126, -0.24684077501296997, -0.1267441362142563, -0.014042409136891365, 0.04066057503223419, -0.05606187880039215, -0.09040884673595428, 0.18320511281490326, 0.0468672476708889, -0.12461555749177933, 0.005329625681042671, 0.04080509766936302, 0.22484712302684784, 0.2337053120136261, -0.03387615457177162, -0.02884638123214245, -0.09148836880922318, 0.11974436789751053, -0.27903783321380615, 0.038772907108068466, 0.11754085123538971, 0.17672035098075867, 0.06590352952480316, 0.032600659877061844, -0.05833747237920761, 0.04585573077201843, 0.14515992999076843, -0.19371546804904938, 0.01306125894188881, 0.03752283751964569, -0.12240321189165115, -0.04683513194322586, -0.031653307378292084, 0.16629666090011597, 0.17103458940982819, -0.08147390931844711, -0.1211342066526413, 0.1839929223060608, -0.17332550883293152, -0.032616984099149704, 0.01615304686129093, -0.0807134211063385, -0.21253205835819244, -0.3984038233757019, 0.0853634923696518, 0.4225775897502899, 0.23981088399887085, -0.16713906824588776, -0.0004565361887216568, -0.1334475874900818, -0.0037585217505693436, 0.047551531344652176, 0.08399109542369843, -0.07512407749891281, -0.0663902685046196, -0.07352454215288162, 0.055013544857501984, 0.17925645411014557, -0.01629604771733284, -0.1113133579492569, 0.27760958671569824, 0.022115789353847504, 0.05334869772195816, 0.04188977926969528, 0.002897074446082115, -0.07425570487976074, -0.07155182957649231, -0.0941399335861206, 0.0021061082370579243, 0.04963917285203934, -0.11994996666908264, 0.06663183867931366, 0.12842845916748047, -0.15676440298557281, 0.15493719279766083, -0.01835271157324314, -0.008602242916822433, 0.0667668879032135, -0.004156521055847406, -0.08006966859102249, -0.022066032513976097, 0.11651843786239624, -0.17518272995948792, 0.2279079705476761, 0.13167890906333923, -0.03612302616238594, 0.17425453662872314, 0.09946228563785553, 0.13331782817840576, -0.040091708302497864, -0.01921853795647621, -0.10707460343837738, -0.09927112609148026, 0.011489045806229115, -0.00011522741988301277, 0.12191841006278992, 0.05706635117530823]
5	ps	[-0.07446635514497757, 0.09277502447366714, -0.007308575790375471, -0.012652133591473103, -0.07454698532819748, -0.05214135721325874, 0.03197131305932999, -0.1134578287601471, 0.14813655614852905, -0.04493432492017746, 0.31341275572776794, -0.06602315604686737, -0.2803530693054199, -0.08543002605438232, -0.001857258379459381, 0.09722666442394257, -0.1547439843416214, -0.03599461913108826, -0.15453720092773438, -0.04000665247440338, 0.003815203905105591, 0.006920577492564917, 0.052284713834524155, -0.0005097459070384502, -0.0817454606294632, -0.2905882000923157, -0.0508083738386631, -0.1254820078611374, 0.08334147185087204, -0.07670751214027405, -0.0478573776781559, 0.0434759184718132, -0.22398746013641357, -0.10782402008771896, -0.012314042076468468, 0.057297483086586, -0.08534444868564606, -0.05360217019915581, 0.24726948142051697, 0.014759504236280918, -0.13608983159065247, -0.05042870342731476, -0.04249614477157593, 0.23478659987449646, 0.23876714706420898, -0.03909051790833473, -0.035497989505529404, -0.10406368225812912, 0.11536851525306702, -0.27988195419311523, 0.02817070484161377, 0.1739301085472107, 0.17239634692668915, 0.1045808419585228, -0.0015364950522780418, -0.09421341866254807, 0.06357686221599579, 0.08552486449480057, -0.2637139856815338, 0.00739692896604538, 0.07902353256940842, -0.10017845034599304, -0.0621955543756485, -0.053154781460762024, 0.21094192564487457, 0.10975021123886108, -0.09027975052595139, -0.09231933951377869, 0.1771559864282608, -0.15197144448757172, -0.03539907932281494, 0.05603047460317612, -0.12544110417366028, -0.24007703363895416, -0.292804092168808, 0.07842652499675751, 0.4164058566093445, 0.17898809909820557, -0.20055919885635376, 0.003934859298169613, -0.11712376773357391, -0.09849454462528229, 0.06220829859375954, 0.03601106256246567, -0.06148378551006317, -0.024114033207297325, -0.08862258493900299, 0.08090198785066605, 0.17165729403495789, -0.12418971955776215, -0.04334981366991997, 0.23515312373638153, -0.018622232601046562, 0.05251740664243698, 0.06308919936418533, 0.009308652020990849, -0.03308684378862381, 0.0038057812489569187, -0.10886215418577194, 0.02827189862728119, 0.09251054376363754, -0.17635780572891235, 0.03489100560545921, 0.07280740886926651, -0.14113397896289825, 0.16895805299282074, 0.018261846154928207, -0.030525580048561096, 0.047129690647125244, -0.10646694898605347, -0.06308475136756897, -0.03554461896419525, 0.20380744338035583, -0.2193746715784073, 0.2978316843509674, 0.13391701877117157, 0.014846411533653736, 0.1480945348739624, 0.023784475401043892, 0.09973181784152985, -0.02644379809498787, -0.0021674418821930885, -0.15671195089817047, -0.08344441652297974, 0.03948269784450531, 0.021175358444452286, 0.06506836414337158, 0.021410398185253143]
6	ps	[-0.07456538826227188, 0.132119283080101, -0.00043266965076327324, 0.02275540865957737, -0.0931193009018898, -0.027650874108076096, -0.038835734128952026, -0.15738600492477417, 0.14872202277183533, -0.012969919480383396, 0.24590559303760529, 0.01072978600859642, -0.2501143217086792, -0.10036981105804443, -0.03223295509815216, 0.06999287009239197, -0.1372120976448059, -0.10454486310482025, -0.15297798812389374, -0.04448313266038895, 0.02980884537100792, 0.07555241137742996, 0.06140529364347458, -0.0013599153608083725, -0.12543758749961853, -0.3106463849544525, -0.050913985818624496, -0.10683444142341614, 0.04986616596579552, -0.10822152346372604, -0.008789005689322948, -0.013037675060331821, -0.2338176667690277, -0.09879465401172638, -0.007233249023556709, 0.0505850687623024, -0.10712115466594696, -0.08690023422241211, 0.23126888275146484, 0.012450710870325565, -0.2168947160243988, -0.07726772874593735, -0.016996845602989197, 0.24799707531929016, 0.21634316444396973, -0.041764743626117706, -0.004682295024394989, -0.08981295675039291, 0.1298999935388565, -0.22547586262226105, 0.08026595413684845, 0.1965394914150238, 0.12294145673513412, 0.08403725922107697, 0.03479582816362381, -0.109772227704525, 0.016857309266924858, 0.1690058708190918, -0.2029769867658615, 0.02026599459350109, 0.08227183669805527, -0.11739020049571991, -0.02722027152776718, -0.0503033772110939, 0.1874912828207016, 0.12161515653133392, -0.06754880398511887, -0.12536799907684326, 0.15643520653247833, -0.16199442744255066, -0.07644475996494293, 0.07698409259319305, -0.09593964368104935, -0.22674059867858887, -0.33159899711608887, 0.024464145302772522, 0.43224915862083435, 0.1312786489725113, -0.19330139458179474, 0.00017552264034748077, -0.08156096190214157, -0.047000352293252945, 0.09387794137001038, 0.08589369803667068, -0.06047281250357628, 0.044322289526462555, -0.11531887948513031, 0.04566432908177376, 0.2136731892824173, -0.035974375903606415, -0.08096764981746674, 0.23735471069812775, -0.016830770298838615, 0.025006312876939774, 0.11280002444982529, 0.04009799286723137, -0.058959975838661194, -0.004672924056649208, -0.08596828579902649, 0.01834908127784729, 0.08039805293083191, -0.1123301163315773, 0.026334859430789948, 0.09056996554136276, -0.08021169155836105, 0.16996170580387115, 0.04168052598834038, 0.041110701858997345, 0.04160025715827942, -0.10657942295074463, -0.05598904937505722, -0.06901276111602783, 0.19152194261550903, -0.21874533593654633, 0.27479103207588196, 0.07523947209119797, -0.006269457284361124, 0.1699974685907364, 0.038773063570261, 0.10534684360027313, -0.05561986565589905, -0.028804022818803787, -0.17937858402729034, -0.06823918968439102, 0.03915782645344734, 0.0003894474357366562, 0.10081147402524948, 0.03231266140937805]
7	ps	[-0.09357097744941711, 0.15810568630695343, 0.04335672780871391, 0.041618674993515015, -0.07993299514055252, -0.04626142978668213, -0.026870710775256157, -0.10428803414106369, 0.18941733241081238, -0.09273523837327957, 0.22133518755435944, 0.030755024403333664, -0.2635446786880493, -0.07539935410022736, -0.06379712373018265, 0.11751408874988556, -0.13426806032657623, -0.023639051243662834, -0.11285223811864853, -0.0873655378818512, -0.003110162913799286, 0.03223692253232002, 0.053729213774204254, -0.0338863842189312, -0.10318532586097717, -0.2659544348716736, -0.07142657041549683, -0.062015190720558167, 0.008414548821747303, -0.06841675937175751, 0.0013390835374593735, 0.023406852036714554, -0.23190255463123322, -0.14227886497974396, -0.03343522176146507, 0.07631457597017288, -0.10765493661165237, -0.026984762400388718, 0.20624777674674988, 0.05565352737903595, -0.09852797538042068, 0.013230964541435242, 0.002764146775007248, 0.2530338168144226, 0.20099374651908875, 0.004457822069525719, -0.02931760810315609, -0.11981546133756638, 0.12374874204397202, -0.24846185743808746, 0.022135157138109207, 0.18883129954338074, 0.10568559169769287, 0.11193444579839706, 0.04874885827302933, -0.11328301578760147, 0.06408685445785522, 0.12022143602371216, -0.18556134402751923, 0.03854497894644737, 0.06096230819821358, -0.06841021031141281, -0.058253608644008636, 0.003918827045708895, 0.17628510296344757, 0.10429416596889496, -0.048956867307424545, -0.089179128408432, 0.24531063437461853, -0.1291331648826599, -0.022788744419813156, 0.07787968218326569, -0.0807877853512764, -0.2284364551305771, -0.25687116384506226, 0.09243796020746231, 0.4176628291606903, 0.22269690036773682, -0.144255593419075, -0.017486954107880592, -0.12084924429655075, -0.08797542750835419, 0.029203128069639206, 0.07214747369289398, -0.04737452417612076, -0.052073512226343155, -0.06884846836328506, 0.06977943331003189, 0.15120941400527954, -0.011092472821474075, -0.05342205986380577, 0.2677711844444275, 0.06720075756311417, 0.04020915552973747, 0.0403301827609539, -0.023136306554079056, -0.12159618735313416, -0.015345629304647446, -0.17386804521083832, -0.0759982094168663, 0.10131744295358658, -0.1365644484758377, 0.027399806305766106, 0.1165689006447792, -0.12299927324056625, 0.17749448120594025, 0.021771466359496117, -0.01971970498561859, 0.043346378952264786, -0.011302872560918331, -0.05997823178768158, -0.010916740633547306, 0.1873379945755005, -0.1629549115896225, 0.28752145171165466, 0.12208244204521179, -0.013580568134784698, 0.13601264357566833, 0.08168191462755203, 0.1219615712761879, -0.014273418113589287, -0.04236362501978874, -0.13234011828899384, -0.1172507256269455, -0.024929162114858627, -0.02441522292792797, 0.07687081396579742, 0.03597264736890793]
8	ps	[-0.08529458940029144, 0.16179534792900085, -0.01713019795715809, -0.009836727753281593, -0.07885556668043137, -0.02567000687122345, -0.0663732960820198, -0.12912358343601227, 0.15374912321567535, -0.01685357838869095, 0.21932293474674225, -0.019784100353717804, -0.23761101067066193, -0.11430590599775314, -0.0539064034819603, 0.09677106142044067, -0.14998556673526764, -0.04560315981507301, -0.07534670829772949, -0.06274452805519104, 0.005919748917222023, 0.05000679939985275, 0.06792989373207092, -0.007510436698794365, -0.09709851443767548, -0.32406455278396606, -0.08499085903167725, -0.03746029734611511, 0.03897566720843315, -0.09032022207975388, -0.02478594332933426, 0.03822595253586769, -0.24491240084171295, -0.12102839350700378, -0.02060161530971527, 0.0666678175330162, -0.08287559449672699, -0.06264814734458923, 0.22045345604419708, 0.1048583984375, -0.08539407700300217, 0.012143921107053757, -0.0110100656747818, 0.27375519275665283, 0.20031051337718964, -0.02838672511279583, -0.011972928419709206, -0.09250296652317047, 0.11304716765880585, -0.2562547028064728, 0.04165171831846237, 0.19945859909057617, 0.11438100039958954, 0.07143422216176987, 0.029965538531541824, -0.052434198558330536, 0.02433839440345764, 0.10799549520015717, -0.21034853160381317, 0.03560027480125427, 0.0664524957537651, -0.04287770763039589, -0.0513228103518486, -0.0605575256049633, 0.21003209054470062, 0.12542536854743958, -0.06307515501976013, -0.07530085742473602, 0.15986628830432892, -0.10231579840183258, -0.04069991409778595, 0.05275292694568634, -0.06440224498510361, -0.23001165688037872, -0.29895278811454773, 0.11380373686552048, 0.3603156507015228, 0.21038265526294708, -0.16679373383522034, 0.014793094247579575, -0.11400613933801651, -0.08058562874794006, 0.038618218153715134, 0.028100688010454178, -0.10779548436403275, 0.042057644575834274, -0.06527042388916016, 0.08835200220346451, 0.18421734869480133, -0.001416865736246109, -0.08427789807319641, 0.30895015597343445, 0.03632159158587456, 0.09702858328819275, 0.08642901480197906, 0.007522171828895807, -0.047430701553821564, -0.05879455804824829, -0.1500353366136551, -0.02205687202513218, 0.11924165487289429, -0.14742764830589294, 0.04360846057534218, 0.10928652435541153, -0.13338278234004974, 0.14921289682388306, 0.02777937427163124, -0.02745192125439644, 0.025583645328879356, -0.05484398454427719, -0.09440472722053528, -0.018163854256272316, 0.18146459758281708, -0.2316606491804123, 0.2407887876033783, 0.09823428094387054, 0.023721210658550262, 0.1468571275472641, 0.09360264986753464, 0.06745599210262299, -0.03651757165789604, -0.060130149126052856, -0.05969162657856941, -0.08857811987400055, 0.043077386915683746, 0.012979037128388882, 0.09477348625659943, 0.04924429953098297]
9	ps	[-0.09776230901479721, 0.13564401865005493, 0.0687854215502739, 0.0032907540444284678, -0.07602684944868088, -0.06047818437218666, -0.027758287265896797, -0.06699573993682861, 0.19690053164958954, -0.055751584470272064, 0.25607478618621826, 0.012150592170655727, -0.21132223308086395, -0.06969860941171646, -0.07670053839683533, 0.11045828461647034, -0.14049939811229706, -0.08050059527158737, -0.12144598364830017, -0.09263122826814651, -0.003665132913738489, 0.031721603125333786, 0.00918818823993206, -0.05730794742703438, -0.09679721295833588, -0.30930450558662415, -0.10258087515830994, -0.1159181073307991, 0.09725405275821686, -0.09819230437278748, -0.0033353734761476517, -0.03954284265637398, -0.21714599430561066, -0.1293594241142273, -0.027727697044610977, 0.04330066218972206, -0.060298286378383636, -0.05175364017486572, 0.2026650607585907, 0.066762275993824, -0.14230263233184814, 0.01586967520415783, 0.024707945063710213, 0.28713035583496094, 0.22261840105056763, 0.022358961403369904, -0.04430065304040909, -0.043903954327106476, 0.08903028815984726, -0.2636878192424774, 0.047681719064712524, 0.166663259267807, 0.17953847348690033, 0.0914292261004448, 0.07364048063755035, -0.07993639260530472, 0.0663856565952301, 0.094487264752388, -0.23084749281406403, 0.04801088571548462, 0.08320541679859161, -0.08477245271205902, -0.04616304486989975, 0.0074356370605528355, 0.24778848886489868, 0.10831031948328018, -0.05977889522910118, -0.08692906051874161, 0.22329068183898926, -0.1548650711774826, -0.008602714166045189, 0.04572929069399834, -0.07549291849136353, -0.16042593121528625, -0.2678762972354889, 0.1003551334142685, 0.4783404767513275, 0.20374596118927002, -0.15168267488479614, 0.047885600477457047, -0.16272543370723724, -0.07255483418703079, 0.003686179406940937, 0.028118116781115532, -0.09362242370843887, -0.011710211634635925, -0.10197974741458893, 0.021981149911880493, 0.16505683958530426, -0.02330828458070755, -0.0164460651576519, 0.22566193342208862, 0.003607768565416336, 0.03865942358970642, 0.04196746647357941, -0.05170991271734238, -0.12296441197395325, -0.05555747076869011, -0.08437039703130722, -0.07921670377254486, 0.07602065801620483, -0.13732188940048218, 0.03816288337111473, 0.11474083364009857, -0.1660117506980896, 0.14506298303604126, 0.01529820915311575, -0.02908632531762123, 0.05666030943393707, 0.03438803553581238, -0.012270973064005375, -0.06691697239875793, 0.19062328338623047, -0.19244936108589172, 0.26130837202072144, 0.13644343614578247, -0.005840199999511242, 0.12662914395332336, 0.07472597807645798, 0.09459028393030167, -0.04072418063879013, -0.0028933044523000717, -0.11843130737543106, -0.09858965873718262, -0.06404264271259308, -0.0579734668135643, 0.08315660059452057, 0.06680230796337128]
